Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-08-26),Price Override,Watchlist,Date Added,Notes
Main,One Piece,Carrying On His Will,DON!! Card (Gol.D.Roger) (Gold),,DON!!,Foil,Ungraded,Near Mint,0,1,5.59,0,false,2026-08-26,
Main,One Piece,One Piece Promotion Cards,Portgas.D.Ace (Illustration Box Vol.5),ST15-005,SR,Foil,Ungraded,Near Mint,0,1,1.95,0,false,2026-08-26,
Main,One Piece,One Piece Promotion Cards,Sabo (Illustration Box Vol.5),OP05-007,SR,Foil,Ungraded,Near Mint,0,1,0.68,0,false,2026-08-26,
Main,Pokemon,Ascended Heroes,Ascended Heroes Elite Trainer Box,,,Normal,Ungraded,Near Mint,0,1,166.35,0,false,2026-08-26,
Main,Pokemon,Ascended Heroes,Carbink,242/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,5.42,0,false,2026-02-16,
Main,Pokemon,Ascended Heroes,Dustox,220/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,3.08,0,false,2026-02-16,
Main,Pokemon,Ascended Heroes,Glass Trumpet,260/217,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.73,0,false,2026-02-16,
Main,Pokemon,Ascended Heroes,Hitmontop,240/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,4.73,0,false,2026-03-05,
Main,Pokemon,Ascended Heroes,Mega Gengar ex,284/217,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,"1,055.48",0,false,2026-03-05,
Main,Pokemon,Ascended Heroes,Mega Scrafty ex,270/217,Mega Attack Rare,Holofoil,Ungraded,Near Mint,0.0000,1,4.92,0,false,2026-02-16,
Main,Pokemon,Astral Radiance,Ponyta,021/189,Common,Normal,Ungraded,Near Mint,0.0000,1,0.15,0,false,2026-01-04,
Main,Pokemon,Base Set 2,Bulbasaur,67,Common,Normal,Ungraded,Near Mint,0.0000,1,4.16,0,false,2026-01-04,
Main,Pokemon,Base Set 2,Magmar,51,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,1.24,0,false,2026-01-04,
Main,Pokemon,Base Set 2,Rattata,89,Common,Normal,TAG 8.5 NM MT+,Near Mint,0.0000,1,0,0,false,2026-01-07,
Main,Pokemon,Base Set (Unlimited),Blastoise,2,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,224.92,0,false,2026-01-04,
Main,Pokemon,Base Set (Unlimited),Bulbasaur,44,Common,Normal,Ungraded,Near Mint,0.0000,1,2.9,0,false,2026-01-04,
Main,Pokemon,Base Set (Unlimited),Charizard,4,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,855.52,0,false,2026-01-04,
Main,Pokemon,Base Set (Unlimited),Charmander,46,Common,Normal,Ungraded,Near Mint,0.0000,1,3.11,0,false,2026-01-04,
Main,Pokemon,Base Set (Unlimited),Clefairy,5,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,47.75,0,false,2026-01-04,
Main,Pokemon,Base Set (Unlimited),Double Colorless Energy,96,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,5.88,0,false,2026-01-04,
Main,Pokemon,Base Set (Unlimited),Ivysaur,30,Uncommon,Normal,Ungraded,Near Mint,0.0000,2,5.35,0,false,2026-01-04,; 
Main,Pokemon,Base Set (Unlimited),Magmar,36,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,3.06,0,false,2026-01-04,
Main,Pokemon,Base Set (Unlimited),Ponyta,60,Common,Normal,Ungraded,Near Mint,0.0000,1,0.66,0,false,2026-01-04,
Main,Pokemon,Base Set (Unlimited),Squirtle,63,Common,Normal,Ungraded,Near Mint,0.0000,1,7.23,0,false,2026-01-04,
Main,Pokemon,Base Set (Unlimited),Venusaur,15,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,188.73,0,false,2026-01-04,
Main,Pokemon,Base Set (Unlimited),Wartortle,42,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,4.91,0,false,2026-01-04,
Main,Pokemon,Battle Styles,Flapple V,018/163,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.77,0,false,2026-01-04,
